date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 14:20:00+05:30,733.55,734.95,732.3,734.0,14520,14:20:00,2024-10-07,EMAMILTD
2024-10-07 14:25:00+05:30,734.0,734.7,732.0,732.2,1422,14:25:00,2024-10-07,EMAMILTD
2024-10-07 14:30:00+05:30,732.0,733.95,731.5,733.7,2959,14:30:00,2024-10-07,EMAMILTD
2024-10-07 14:35:00+05:30,733.3,734.7,732.05,732.5,3099,14:35:00,2024-10-07,EMAMILTD
2024-10-07 14:40:00+05:30,732.5,734.95,732.25,734.95,3799,14:40:00,2024-10-07,EMAMILTD
2024-10-07 14:45:00+05:30,734.45,735.0,733.65,734.95,4484,14:45:00,2024-10-07,EMAMILTD
2024-10-07 14:50:00+05:30,734.95,735.0,734.25,734.6,11530,14:50:00,2024-10-07,EMAMILTD
2024-10-07 14:55:00+05:30,734.6,735.15,734.0,735.0,8169,14:55:00,2024-10-07,EMAMILTD
2024-10-07 15:00:00+05:30,735.0,735.2,734.55,734.95,11411,15:00:00,2024-10-07,EMAMILTD
2024-10-07 15:05:00+05:30,734.95,735.15,732.7,733.65,15008,15:05:00,2024-10-07,EMAMILTD
2024-10-07 15:10:00+05:30,733.7,734.0,731.9,731.95,10809,15:10:00,2024-10-07,EMAMILTD
2024-10-07 15:15:00+05:30,731.95,732.45,730.85,732.0,12248,15:15:00,2024-10-07,EMAMILTD
2024-10-07 15:20:00+05:30,732.0,734.85,727.65,734.55,27020,15:20:00,2024-10-07,EMAMILTD
2024-10-07 15:25:00+05:30,734.6,737.0,732.9,734.3,9395,15:25:00,2024-10-07,EMAMILTD
2024-10-07 09:15:00+05:30,211.0,213.4,211.0,212.78,6888,09:15:00,2024-10-07,EMIL
2024-10-07 09:20:00+05:30,212.36,212.72,211.51,211.84,2396,09:20:00,2024-10-07,EMIL
2024-10-07 09:25:00+05:30,211.84,213.35,211.33,212.1,20495,09:25:00,2024-10-07,EMIL
2024-10-07 09:30:00+05:30,212.1,212.58,210.57,211.04,7901,09:30:00,2024-10-07,EMIL
2024-10-07 09:35:00+05:30,211.12,211.91,210.31,211.66,9995,09:35:00,2024-10-07,EMIL
2024-10-07 09:40:00+05:30,211.66,211.69,209.8,211.69,16950,09:40:00,2024-10-07,EMIL
2024-10-07 09:45:00+05:30,211.69,211.79,210.72,211.43,9170,09:45:00,2024-10-07,EMIL
2024-10-07 09:50:00+05:30,211.43,211.43,209.6,209.89,7371,09:50:00,2024-10-07,EMIL
2024-10-07 09:55:00+05:30,209.89,210.0,209.11,210.0,25404,09:55:00,2024-10-07,EMIL
2024-10-07 10:00:00+05:30,209.72,210.0,207.38,208.15,8886,10:00:00,2024-10-07,EMIL
2024-10-07 10:05:00+05:30,208.15,209.26,207.76,208.92,6117,10:05:00,2024-10-07,EMIL
2024-10-07 10:10:00+05:30,208.92,208.92,208.0,208.4,3070,10:10:00,2024-10-07,EMIL
2024-10-07 10:15:00+05:30,208.08,208.95,207.5,207.95,8293,10:15:00,2024-10-07,EMIL
2024-10-07 10:20:00+05:30,207.95,209.79,207.6,209.79,9780,10:20:00,2024-10-07,EMIL
2024-10-07 10:25:00+05:30,209.79,210.68,209.43,210.37,14698,10:25:00,2024-10-07,EMIL
2024-10-07 10:30:00+05:30,210.37,210.46,209.74,210.29,8589,10:30:00,2024-10-07,EMIL
2024-10-07 10:35:00+05:30,210.01,210.68,209.16,209.5,14400,10:35:00,2024-10-07,EMIL
2024-10-07 10:40:00+05:30,209.5,210.66,208.6,209.25,18771,10:40:00,2024-10-07,EMIL
2024-10-07 10:45:00+05:30,209.25,209.25,207.6,208.73,30579,10:45:00,2024-10-07,EMIL
2024-10-07 10:50:00+05:30,208.73,210.05,208.29,209.45,18676,10:50:00,2024-10-07,EMIL
2024-10-07 10:55:00+05:30,209.45,209.52,208.07,208.19,4236,10:55:00,2024-10-07,EMIL
2024-10-07 11:00:00+05:30,208.03,209.82,207.72,209.13,23229,11:00:00,2024-10-07,EMIL
2024-10-07 11:05:00+05:30,209.13,209.67,208.1,209.21,8142,11:05:00,2024-10-07,EMIL
2024-10-07 11:10:00+05:30,209.21,210.5,209.21,210.02,24222,11:10:00,2024-10-07,EMIL
2024-10-07 11:15:00+05:30,210.02,210.95,210.02,210.95,12236,11:15:00,2024-10-07,EMIL
2024-10-07 11:20:00+05:30,210.95,210.95,210.3,210.95,7047,11:20:00,2024-10-07,EMIL
2024-10-07 11:25:00+05:30,210.95,211.85,210.66,211.1,5418,11:25:00,2024-10-07,EMIL
2024-10-07 11:30:00+05:30,211.07,211.5,210.61,210.78,4191,11:30:00,2024-10-07,EMIL
2024-10-07 11:35:00+05:30,210.78,211.09,210.52,210.52,2020,11:35:00,2024-10-07,EMIL
2024-10-07 11:40:00+05:30,210.52,210.92,210.3,210.5,2989,11:40:00,2024-10-07,EMIL
2024-10-07 11:45:00+05:30,210.5,210.5,210.3,210.3,1527,11:45:00,2024-10-07,EMIL
2024-10-07 11:50:00+05:30,210.3,210.67,210.3,210.67,1385,11:50:00,2024-10-07,EMIL
2024-10-07 11:55:00+05:30,210.67,210.94,210.33,210.78,6104,11:55:00,2024-10-07,EMIL
2024-10-07 12:00:00+05:30,210.78,210.78,210.3,210.41,1792,12:00:00,2024-10-07,EMIL
2024-10-07 12:05:00+05:30,210.41,210.98,210.13,210.38,2251,12:05:00,2024-10-07,EMIL
2024-10-07 12:10:00+05:30,210.38,210.86,210.02,210.66,6505,12:10:00,2024-10-07,EMIL
2024-10-07 12:15:00+05:30,210.66,210.86,210.07,210.52,2195,12:15:00,2024-10-07,EMIL
2024-10-07 12:20:00+05:30,210.52,210.52,209.9,210.18,4742,12:20:00,2024-10-07,EMIL
2024-10-07 12:25:00+05:30,210.18,210.54,210.0,210.43,994,12:25:00,2024-10-07,EMIL
2024-10-07 12:30:00+05:30,210.43,210.44,209.89,210.17,6768,12:30:00,2024-10-07,EMIL
2024-10-07 12:35:00+05:30,210.17,210.23,209.8,210.0,920,12:35:00,2024-10-07,EMIL
2024-10-07 12:40:00+05:30,210.0,210.08,209.8,210.0,6750,12:40:00,2024-10-07,EMIL
2024-10-07 12:45:00+05:30,210.0,210.09,209.75,210.0,8515,12:45:00,2024-10-07,EMIL
2024-10-07 12:50:00+05:30,210.0,210.5,210.0,210.4,4358,12:50:00,2024-10-07,EMIL
2024-10-07 12:55:00+05:30,210.4,210.4,209.83,210.31,8139,12:55:00,2024-10-07,EMIL
2024-10-07 13:00:00+05:30,210.31,210.42,210.0,210.17,3179,13:00:00,2024-10-07,EMIL
2024-10-07 13:05:00+05:30,210.17,210.5,210.0,210.42,3745,13:05:00,2024-10-07,EMIL
2024-10-07 13:10:00+05:30,210.42,210.49,210.01,210.01,4094,13:10:00,2024-10-07,EMIL
2024-10-07 13:15:00+05:30,210.01,210.5,209.3,210.49,12627,13:15:00,2024-10-07,EMIL
2024-10-07 13:20:00+05:30,210.39,210.39,210.0,210.0,3133,13:20:00,2024-10-07,EMIL
2024-10-07 13:25:00+05:30,210.0,210.45,209.99,210.27,2842,13:25:00,2024-10-07,EMIL
2024-10-07 13:30:00+05:30,210.27,210.3,210.08,210.24,4071,13:30:00,2024-10-07,EMIL
2024-10-07 13:35:00+05:30,210.24,210.3,209.97,210.0,3049,13:35:00,2024-10-07,EMIL
2024-10-07 13:40:00+05:30,210.0,210.45,209.0,210.4,12584,13:40:00,2024-10-07,EMIL
2024-10-07 13:45:00+05:30,210.45,212.9,210.21,212.9,27574,13:45:00,2024-10-07,EMIL
2024-10-07 13:50:00+05:30,212.9,213.1,210.61,212.0,29172,13:50:00,2024-10-07,EMIL
2024-10-07 13:55:00+05:30,212.0,212.3,211.31,211.79,17342,13:55:00,2024-10-07,EMIL
